Gender,Measures,Weights,Age
M,"(1.4375, 1.1375, 0.4625)","(15.66309875, 6.8889285, 8.3631025)",13
M,"(1.375, 1.025, 0.375)","(7.994559, 5.273007, 7.7961125)",12
F,"(1.5125, 1.175, 0.3875)","(11.1413535, 6.350288, 9.48290775)",9
M,"(1.1625, 1.0125, 0.3375)","(12.360382, 4.86193925, 4.12485225)",10
I,"(1.0125, 0.625, 0.225)","(3.628736, 1.7860185, 2.28213475)",7
I,"(0.9, 0.675, 0.225)","(2.778251, 1.1056305, 1.757669)",6
I,"(0.6875, 0.5125, 0.2)","(1.020582, 0.52446575, 0.850485)",6
I,"(1.4125, 1.075, 0.375)","(9.412034, 4.77689075, 8.221355)",11
F,"(1.7875, 1.4125, 0.45)","(23.926978, 10.02154825, 15.26620575)",9
M,"(1.5375, 1.2625, 0.4125)","(13.87708025, 8.37727725, 9.7805775)",10
I,"(1.0, 0.8, 0.2375)","(5.499803, 1.5025235, 2.4664065)",6
I,"(1.525, 1.0625, 0.3875)","(14.3731965, 5.54232725, 7.767763)",11
F,"(1.875, 1.4125, 0.5375)","(21.92833825, 13.67863375, 16.3009625)",11
M,"(1.5, 1.1625, 0.45)","(14.58581775, 8.9300925, 8.66077225)",8
I,"(0.975, 0.775, 0.2625)","(3.35941575, 1.48834875, 2.2963095)",8
I,"(1.4875, 1.075, 0.4125)","(12.82814875, 5.8683465, 7.72523875)",8
I,"(1.1875, 0.9125, 0.2875)","(6.577084, 2.50893075, 4.422522)",10
F,"(1.5, 1.1375, 0.3625)","(11.8784405, 4.86193925, 7.6260155)",10
F,"(1.175, 0.9125, 0.3)","(8.221355, 2.608154, 4.139027)",8
M,"(1.4875, 1.2, 0.35)","(11.60912025, 5.17378375, 8.1930055)",9
I,"(0.5, 0.3625, 0.125)","(0.35436875, 0.226796, 0.3118445)",4
M,"(1.4875, 1.175, 0.4125)","(13.93377925, 6.59125875, 9.48290775)",9
F,"(1.5625, 1.3, 0.45)","(13.73533275, 9.9506745, 10.6310625)",11
M,"(1.6625, 1.3125, 0.4125)","(15.63474925, 10.13494625, 9.922325)",18
I,"(1.3125, 1.0, 0.35)","(6.81805475, 4.53592, 7.1724235)",10
I,"(1.475, 1.15, 0.3625)","(11.8784405, 5.06038575, 7.37087)",11
F,"(1.675, 1.4625, 0.4)","(15.43630275, 8.34892775, 11.7083435)",10
F,"(1.7625, 1.325, 0.425)","(17.349894, 11.169703, 12.47378)",10
F,"(1.125, 0.8375, 0.2625)","(5.28718175, 2.5798045, 3.2601925)",9
M,"(1.0, 0.725, 0.2875)","(3.16096925, 1.63009625, 2.1262125)",9
F,"(1.5875, 1.2125, 0.3875)","(13.2392165, 5.59902625, 9.922325)",11
I,"(1.2375, 0.95, 0.3375)","(5.85417175, 3.30271675, 4.6776675)",8
F,"(1.525, 1.175, 0.4)","(12.076887, 6.39281225, 9.07184)",12
M,"(1.625, 1.275, 0.4375)","(18.38465075, 7.66853975, 12.757275)",12
F,"(0.7625, 0.575, 0.2)","(1.91359125, 0.97805775, 1.360776)",7
F,"(1.2875, 0.975, 0.325)","(5.59902625, 3.685435, 5.23048275)",9
I,"(1.375, 1.0625, 0.375)","(10.659412, 4.8477645, 6.9456275)",14
I,"(1.2125, 0.9375, 0.35)","(5.6699, 3.4869885, 4.819415)",8
I,"(0.9125, 0.675, 0.1875)","(2.6932025, 1.26155275, 1.984465)",6
M,"(1.4125, 1.0875, 0.375)","(16.42853525, 5.17378375, 5.839997)",8
F,"(1.575, 1.225, 0.425)","(13.11164375, 5.79747275, 8.80251975)",10
F,"(1.6375, 1.2875, 0.5)","(20.56756225, 8.7599955, 11.4815475)",12
F,"(1.6, 1.2875, 0.4125)","(14.01882775, 7.24329725, 11.623295)",10
M,"(1.575, 1.1375, 0.375)","(13.6361095, 7.78193775, 8.6465975)",9
F,"(1.6625, 1.3125, 0.525)","(23.189891, 9.62465525, 12.11941125)",10
M,"(1.3875, 1.1, 0.375)","(11.793392, 6.010094, 12.48795475)",15
M,"(1.025, 0.7875, 0.2375)","(3.4302895, 2.08368825, 2.551455)",9
M,"(1.025, 0.75, 0.25)","(3.515338, 1.9561155, 2.551455)",9
I,"(1.55, 1.2, 0.45)","(14.98271075, 7.52679225, 8.674947)",12
M,"(1.725, 1.325, 0.525)","(20.85105725, 11.4815475, 10.95708175)",12
I,"(1.425, 1.0875, 0.425)","(11.3398, 4.706017, 7.087375)",9
F,"(1.1625, 0.875, 0.3125)","(6.520385, 3.005047, 3.10427025)",6
F,"(1.575, 1.2, 0.4)","(14.92601175, 9.4970825, 8.9300925)",11
I,"(1.125, 0.8375, 0.2625)","(4.46504625, 2.25378525, 3.10427025)",7
M,"(1.475, 1.175, 0.4)","(13.5794105, 6.87475375, 8.7599955)",8
I,"(0.9875, 0.8125, 0.2625)","(3.1467945, 2.08368825, 2.6932025)",8
I,"(0.875, 0.675, 0.1875)","(2.83495, 1.020582, 1.8427175)",6
M,"(1.525, 1.2, 0.375)","(15.87572, 6.95980225, 7.93786)",14
F,"(0.925, 0.6875, 0.25)","(2.6365035, 0.737087, 2.26796)",8
F,"(1.4875, 1.15, 0.35)","(13.19669225, 5.93922025, 7.12989925)",9
F,"(1.8, 1.4125, 0.45)","(23.99785175, 11.5382465, 10.98543125)",11
M,"(1.325, 1.0625, 0.3875)","(8.7032965, 4.8477645, 7.35669525)",9
M,"(1.3625, 1.05, 0.3625)","(10.61688775, 4.37999775, 5.8116475)",7
F,"(1.45, 1.0625, 0.3875)","(10.24834425, 7.0590255, 6.7755305)",10
I,"(1.25, 0.95, 0.3125)","(7.04485075, 3.21766825, 3.798833)",8
M,"(1.3125, 1.0875, 0.3875)","(13.777857, 6.6054335, 8.0796075)",8
I,"(0.9875, 0.75, 0.225)","(3.92640575, 1.77184375, 2.1829115)",5
I,"(1.125, 0.825, 0.275)","(4.53592, 2.50893075, 2.891649)",6
F,"(0.9875, 0.7875, 0.2625)","(3.35941575, 2.5798045, 3.38776525)",16
M,"(1.9, 1.5125, 0.5375)","(22.7079495, 13.93377925, 18.313777)",13
I,"(1.2375, 0.8875, 0.3)","(6.066793, 2.96252275, 4.23825025)",8
M,"(1.75, 1.375, 0.4875)","(19.1359125, 9.8372765, 15.1669825)",13
I,"(1.2625, 0.95, 0.3)","(7.35669525, 4.06815325, 5.10291)",7
M,"(1.375, 1.0625, 0.375)","(11.6516445, 5.00368675, 6.13766675)",10
M,"(1.675, 1.25, 0.5)","(16.329312, 8.46232575, 9.9506745)",11
M,"(1.5, 1.2375, 0.4625)","(14.33067225, 7.47009325, 10.4042665)",11
F,"(1.3375, 1.05, 0.375)","(7.89533575, 5.273007, 6.0951425)",14
F,"(1.6375, 1.325, 0.475)","(13.9763035, 9.015141, 16.0174675)",18
I,"(0.95, 0.7, 0.2125)","(3.2601925, 1.7293195, 2.4097075)",6
M,"(1.325, 1.025, 0.3125)","(9.808927, 4.9044635, 6.0951425)",9
M,"(1.3, 1.0, 0.3625)","(9.99319875, 5.23048275, 5.2446575)",9
M,"(1.3625, 1.0625, 0.3375)","(10.5743635, 5.953395, 6.6621325)",10
I,"(1.25, 0.975, 0.3125)","(8.334753, 3.742134, 4.55009475)",8
F,"(1.4, 1.1125, 0.3875)","(15.77649675, 9.14271375, 7.64019025)",10
I,"(0.6, 0.45, 0.1375)","(0.66621325, 0.3685435, 0.510291)",4
M,"(1.425, 1.125, 0.3875)","(9.241937, 5.37223025, 10.0640725)",14
M,"(1.2875, 0.975, 0.3)","(8.561549, 3.86970675, 4.01145425)",8
I,"(1.45, 1.0625, 0.3625)","(10.7444605, 4.55009475, 7.29999625)",11
F,"(1.3, 1.0125, 0.3)","(7.49844275, 4.01145425, 5.1312595)",11
M,"(1.2875, 1.0, 0.35)","(8.164656, 4.1106775, 4.762716)",9
F,"(1.3, 1.0125, 0.35)","(7.824462, 3.8838815, 6.0951425)",11
F,"(1.5625, 1.2375, 0.4)","(12.74310025, 8.00873375, 9.7805775)",11
M,"(1.3, 0.9625, 0.35)","(7.04485075, 5.76912325, 4.53592)",9
I,"(1.3875, 1.1375, 0.425)","(8.7599955, 5.40057975, 8.50485)",15
I,"(0.8875, 0.7, 0.275)","(2.31048425, 1.48834875, 2.26796)",7
M,"(1.675, 1.3125, 0.425)","(20.2698925, 8.57572375, 10.9712565)",9
I,"(1.4125, 1.15, 0.3875)","(10.64523725, 6.0951425, 7.087375)",10
F,"(1.45, 1.1375, 0.4)","(8.845044, 5.556502, 8.50485)",17
I,"(0.95, 0.6875, 0.2375)","(2.67902775, 1.85689225, 2.1262125)",6
I,"(1.325, 0.9875, 0.3125)","(8.43397625, 3.061746, 5.5281525)",11
F,"(1.7, 1.4, 0.4875)","(16.44271, 10.92873225, 15.4504775)",11
I,"(1.0125, 0.75, 0.3)","(3.58621175, 1.984465, 3.118445)",7
M,"(1.775, 1.425, 0.4875)","(25.47202575, 12.57300325, 12.85649825)",11
I,"(1.275, 0.9875, 0.3875)","(6.98815175, 3.07592075, 4.7343665)",8
F,"(1.825, 1.3875, 0.45)","(18.58309725, 5.57067675, 13.99047825)",10
I,"(0.8375, 0.625, 0.2)","(1.91359125, 0.92135875, 1.63009625)",6
I,"(0.85, 0.625, 0.1875)","(1.88524175, 1.28990225, 1.2757275)",5
I,"(1.2875, 0.9, 0.3125)","(5.14543425, 3.5436875, 3.912231)",9
I,"(1.25, 0.9375, 0.3125)","(7.3425205, 3.515338, 4.4508715)",7
I,"(0.9375, 0.7, 0.2)","(2.65067825, 2.62232875, 1.984465)",7
F,"(1.6125, 1.3125, 0.475)","(19.94387325, 11.01378075, 11.1980525)",18
I,"(0.8875, 0.7, 0.25)","(2.65067825, 1.28990225, 2.4097075)",11
F,"(1.125, 0.9, 0.2625)","(5.76912325, 2.65067825, 4.2240755)",9
I,"(0.75, 0.575, 0.1875)","(1.71514475, 1.190679, 1.2757275)",5
M,"(1.625, 1.2375, 0.45)","(22.69377475, 9.6104805, 15.025235)",14
F,"(1.4375, 1.2125, 0.4125)","(11.8784405, 7.484268, 8.50485)",14
M,"(1.45, 1.075, 0.325)","(10.3475675, 4.9044635, 6.47786075)",10
M,"(1.4375, 1.0, 0.3875)","(10.21999475, 6.93145275, 8.50485)",17
I,"(1.5, 1.2, 0.425)","(10.77281, 6.30776375, 8.221355)",8
M,"(1.7375, 1.375, 0.55)","(16.045817, 10.87203325, 12.6155275)",13
M,"(1.2, 0.925, 0.3375)","(9.76640275, 2.87747425, 4.5642695)",7
F,"(1.4125, 1.125, 0.4125)","(9.128539, 6.917278, 10.489315)",12
I,"(1.375, 1.0625, 0.3875)","(11.679994, 5.3013565, 6.87475375)",10
I,"(1.3375, 1.1375, 0.35)","(15.025235, 5.00368675, 6.917278)",9
I,"(1.0125, 0.7625, 0.225)","(3.231843, 1.63009625, 2.6932025)",7
I,"(1.25, 0.9125, 0.3125)","(6.4920355, 2.9199985, 4.66349275)",9
F,"(1.1625, 0.9, 0.3)","(5.443104, 3.18931875, 4.53592)",10
I,"(1.25, 0.9875, 0.35)","(8.29222875, 3.41611475, 5.5281525)",9
M,"(0.7125, 0.5375, 0.1875)","(1.17650425, 0.6520385, 0.9922325)",5
I,"(1.3625, 1.0875, 0.3375)","(10.546014, 4.195726, 6.4353365)",8
F,"(1.575, 1.2875, 0.4)","(15.6772735, 9.08601475, 9.922325)",11
F,"(1.2, 0.925, 0.325)","(7.01650125, 4.26659975, 4.52174525)",15
M,"(1.7875, 1.3, 0.45)","(20.071446, 9.99319875, 12.6155275)",12
F,"(1.65, 1.1875, 0.45)","(18.1720295, 8.334753, 9.4970825)",6
M,"(1.6625, 1.35, 0.4375)","(14.04717725, 7.200773, 11.7650425)",17
M,"(1.5, 1.125, 0.4)","(15.2803805, 6.3786375, 8.7032965)",10
M,"(1.3, 0.975, 0.3)","(8.17883075, 4.4508715, 4.5642695)",7
F,"(1.7125, 1.35, 0.5375)","(18.824068, 10.36174225, 13.42348825)",14
I,"(1.4, 1.075, 0.325)","(9.51125725, 4.06815325, 6.16601625)",8
M,"(1.5375, 1.175, 0.4)","(13.4093135, 6.78970525, 7.93786)",10
M,"(1.7875, 1.3125, 0.5)","(26.932025, 12.360382, 12.20445975)",10
M,"(1.1375, 0.85, 0.3375)","(4.74854125, 4.479221, 3.40194)",9
M,"(1.25, 0.9125, 0.325)","(8.7599955, 3.07592075, 4.35164825)",9
I,"(0.775, 0.5625, 0.125)","(1.91359125, 1.09145575, 1.2757275)",6
I,"(1.125, 0.85, 0.2375)","(3.92640575, 1.814368, 2.9766975)",8
F,"(1.425, 1.1125, 0.3875)","(14.92601175, 5.74077375, 7.5126175)",10
F,"(1.425, 1.125, 0.425)","(11.736693, 5.3013565, 11.4815475)",20
I,"(1.15, 0.8875, 0.35)","(6.123492, 3.7704835, 3.2601925)",13
M,"(1.1625, 0.9, 0.275)","(7.55514175, 2.4097075, 3.4302895)",7
F,"(1.3, 1.025, 0.2875)","(8.09378225, 5.0745605, 6.6621325)",12
F,"(1.6625, 1.3375, 0.475)","(16.37183625, 7.98038425, 13.4660125)",17
I,"(0.7875, 0.525, 0.15)","(1.70097, 1.06310625, 0.9922325)",5
M,"(1.4125, 1.075, 0.325)","(9.90815025, 5.34388075, 6.0384435)",9
F,"(1.625, 1.25, 0.4)","(19.901349, 8.618248, 9.05766525)",9
M,"(1.2375, 0.95, 0.3375)","(7.4559185, 4.03980375, 6.0951425)",12
F,"(1.4875, 1.2, 0.4)","(14.81261375, 8.391452, 9.07184)",8
M,"(1.375, 1.0625, 0.4)","(8.17883075, 3.9405805, 13.60776)",20
M,"(1.5125, 1.225, 0.3875)","(14.2597985, 7.10154975, 8.3631025)",15
M,"(1.075, 0.825, 0.2375)","(3.72795925, 2.4097075, 3.175144)",14
M,"(1.625, 1.25, 0.35)","(17.47746675, 6.67630725, 9.07184)",8
M,"(1.9, 1.4375, 0.475)","(19.94387325, 10.942907, 15.87572)",14
I,"(1.3, 0.95, 0.2875)","(9.31281075, 4.819415, 4.03980375)",7
I,"(1.05, 0.7625, 0.225)","(4.762716, 1.74349425, 2.324659)",6
I,"(1.1, 0.85, 0.2625)","(4.649318, 2.26796, 2.87747425)",5
M,"(1.8125, 1.4125, 0.5375)","(19.77377625, 13.39513875, 16.44271)",16
I,"(1.2, 0.8875, 0.2875)","(7.087375, 3.005047, 5.216308)",8
I,"(1.0125, 0.75, 0.2125)","(4.252425, 1.43164975, 2.494756)",7
M,"(1.575, 1.2375, 0.45)","(14.0330025, 8.3631025, 13.31009025)",10
I,"(1.175, 0.8625, 0.3)","(4.32329875, 1.74349425, 3.5436875)",8
M,"(1.1625, 0.9, 0.2625)","(5.329706, 2.39553275, 5.386405)",10
I,"(1.075, 0.85, 0.0)","(5.85417175, 2.438057, 3.2601925)",8
F,"(1.3625, 1.075, 0.4125)","(8.32057825, 5.1879585, 7.93786)",11
M,"(1.475, 1.1625, 0.4125)","(14.64251675, 7.7394135, 7.7961125)",10
M,"(1.675, 1.275, 0.4375)","(18.4555245, 12.68640125, 9.7805775)",10
M,"(1.375, 1.075, 0.375)","(11.7083435, 5.40057975, 7.030676)",9
I,"(1.625, 1.2875, 0.4)","(14.0330025, 5.7549485, 9.355335)",17
M,"(1.5375, 1.2, 0.45)","(13.73533275, 6.13766675, 9.2135875)",13
I,"(1.1375, 0.9375, 0.3125)","(6.6054335, 3.005047, 5.2446575)",8
M,"(1.4, 1.1, 0.4)","(9.36950975, 5.88252125, 7.37087)",10
I,"(1.1625, 0.8875, 0.3)","(7.2291225, 2.59397925, 5.216308)",8
F,"(1.3125, 0.975, 0.3375)","(6.42116175, 3.7137845, 5.953395)",16
M,"(1.2625, 1.0125, 0.35)","(7.55514175, 4.932813, 8.0796075)",12
M,"(1.8375, 1.475, 0.5375)","(20.62426125, 11.4248485, 15.7906715)",11
M,"(1.675, 1.375, 0.425)","(13.380964, 6.95980225, 11.3398)",21
I,"(1.05, 0.775, 0.2375)","(3.55786225, 1.4458245, 2.494756)",6
I,"(0.8, 0.5875, 0.2)","(1.814368, 0.8788345, 1.2757275)",6
M,"(1.2875, 0.9875, 0.3)","(8.0796075, 3.86970675, 4.876114)",9
I,"(1.2625, 1.0, 0.3125)","(6.39281225, 4.06815325, 4.819415)",8
M,"(1.075, 0.775, 0.325)","(7.75358825, 4.6209685, 5.216308)",9
F,"(1.7125, 1.35, 0.4)","(23.6151335, 10.70193625, 13.4660125)",11
I,"(0.825, 0.5125, 0.2375)","(2.1829115, 0.907184, 1.23320325)",5
M,"(1.625, 1.25, 0.3875)","(16.0174675, 8.88756825, 8.334753)",11
I,"(1.2125, 0.925, 0.25)","(6.2085405, 3.04757125, 3.685435)",7
F,"(1.55, 1.25, 0.4375)","(13.5227115, 6.520385, 11.056305)",13
I,"(0.8375, 0.6375, 0.2)","(2.2396105, 1.00640725, 1.417475)",5
M,"(1.475, 1.15, 0.35)","(14.061352, 6.13766675, 7.37087)",9
M,"(1.475, 1.1875, 0.4125)","(12.88484775, 6.917278, 8.77417025)",9
M,"(1.7, 1.325, 0.45)","(21.64484325, 8.83086925, 11.4106738)",11
F,"(1.2625, 0.975, 0.3)","(7.24329725, 3.75630875, 4.139027)",8
I,"(1.0125, 0.75, 0.225)","(3.912231, 1.80019325, 2.16873675)",6
M,"(1.4875, 1.15, 0.425)","(16.159215, 7.24329725, 7.5126175)",10
M,"(1.5125, 1.225, 0.4125)","(13.947954, 6.293589, 10.07824725)",11
F,"(1.45, 1.125, 0.3625)","(15.83319575, 6.23689, 8.221355)",8
M,"(1.175, 0.9125, 0.3375)","(6.78970525, 4.32329875, 4.1106775)",10
F,"(1.525, 1.2375, 0.475)","(13.154168, 8.674947, 10.3475675)",15
M,"(1.2375, 0.9875, 0.3125)","(6.73300625, 3.81300775, 4.3941725)",9
M,"(1.3375, 1.05, 0.3125)","(10.0640725, 5.37223025, 5.08873525)",8
F,"(1.65, 1.2625, 0.4625)","(19.561155, 8.57572375, 12.5021295)",11
M,"(0.6875, 0.5, 0.2)","(1.0489315, 0.680388, 0.850485)",5
I,"(1.0, 0.7875, 0.225)","(4.2807745, 2.0695135, 2.494756)",8
M,"(1.175, 0.9375, 0.2875)","(4.77689075, 2.14038725, 4.252425)",8
F,"(1.175, 0.9, 0.25)","(4.63514325, 2.5231055, 3.92640575)",8
M,"(1.4375, 1.0875, 0.325)","(10.432616, 6.293589, 9.07184)",10
M,"(1.4625, 1.1875, 0.375)","(15.06775925, 5.6415505, 8.17883075)",10
F,"(1.4375, 1.15, 0.375)","(9.4403835, 5.8683465, 8.46232575)",9
I,"(0.925, 0.7, 0.2375)","(4.26659975, 1.9561155, 2.25378525)",7
F,"(1.5, 1.15, 0.3625)","(11.29727575, 6.36446275, 7.030676)",8
F,"(1.575, 1.25, 0.4625)","(15.30873, 9.39785925, 10.77281)",10
I,"(0.9375, 0.7125, 0.25)","(2.9766975, 1.57339725, 1.984465)",8
M,"(1.65, 1.275, 0.4375)","(14.33067225, 8.5898985, 10.489315)",11
I,"(0.9625, 0.725, 0.2375)","(4.0539785, 1.80019325, 2.438057)",6
F,"(1.4625, 1.1125, 0.35)","(12.20445975, 6.25106475, 7.1724235)",10
I,"(1.0875, 0.825, 0.275)","(4.29494925, 2.67902775, 3.118445)",7
F,"(1.2625, 1.025, 0.375)","(6.8889285, 3.78465825, 6.0951425)",17
M,"(1.4375, 1.15, 0.4125)","(11.35397475, 6.98815175, 6.76135575)",8
M,"(1.5375, 1.2375, 0.5)","(15.989118, 6.4353365, 11.01378075)",10
I,"(0.6375, 0.4875, 0.175)","(0.72291225, 0.56699, 0.7087375)",6
M,"(0.9875, 0.7, 0.2)","(2.82077525, 1.871067, 2.551455)",12
F,"(1.4125, 1.1125, 0.3125)","(8.88756825, 5.06038575, 6.520385)",11
I,"(1.375, 1.0625, 0.325)","(7.64019025, 4.6209685, 5.953395)",8
F,"(1.425, 1.1625, 0.45)","(9.6104805, 6.30776375, 12.47378)",12
I,"(1.175, 0.8875, 0.2875)","(4.7343665, 2.381358, 3.9405805)",7
F,"(0.85, 0.6375, 0.2125)","(2.7499015, 0.5953395, 1.417475)",6
M,"(1.35, 1.0875, 0.45)","(10.87203325, 6.406987, 9.2135875)",17
F,"(1.175, 0.9375, 0.2625)","(6.577084, 4.025629, 3.685435)",11
I,"(0.9125, 0.65, 0.2875)","(2.65067825, 1.26155275, 1.984465)",9
M,"(1.375, 1.075, 0.4)","(8.9867915, 4.91863825, 10.0640725)",13
M,"(1.4875, 1.1875, 0.425)","(11.8784405, 6.4920355, 9.922325)",17
M,"(1.4375, 1.175, 0.375)","(12.79979925, 5.783298, 11.3398)",13
F,"(1.625, 1.275, 0.4375)","(16.3009625, 8.94426725, 11.01378075)",10
M,"(0.8875, 0.725, 0.225)","(3.798833, 2.438057, 2.551455)",9
M,"(1.2375, 0.9375, 0.2875)","(7.994559, 4.0539785, 4.3941725)",6
I,"(1.025, 0.7875, 0.25)","(3.515338, 1.63009625, 2.83495)",8
I,"(1.0625, 0.8625, 0.3125)","(4.53592, 2.25378525, 4.365823)",13
M,"(1.725, 1.3125, 0.4375)","(23.40251225, 10.262519, 11.4815475)",8
I,"(1.375, 1.05, 0.2875)","(8.29222875, 3.8838815, 5.9250455)",11
F,"(1.4125, 1.1, 0.3875)","(12.11941125, 6.066793, 7.654365)",12
M,"(1.125, 0.8875, 0.2875)","(6.02426875, 2.96252275, 4.252425)",8
M,"(0.975, 0.7125, 0.2375)","(3.118445, 1.70097, 2.26796)",8
I,"(1.1625, 0.9375, 0.3)","(6.293589, 3.3735905, 3.96893)",9
F,"(1.3125, 1.1, 0.3125)","(9.08601475, 4.5075705, 5.42892925)",7
M,"(1.4375, 1.125, 0.4)","(12.47378, 4.77689075, 7.654365)",16
M,"(1.2625, 1.1, 0.35)","(9.68135425, 5.25883225, 6.7755305)",8
F,"(0.9375, 0.725, 0.2875)","(2.6365035, 1.871067, 2.50893075)",10
M,"(1.15, 0.875, 0.3)","(6.350288, 3.061746, 4.43669675)",10
M,"(1.5125, 1.1625, 0.4125)","(11.94931425, 7.01650125, 9.63883)",13
M,"(1.4375, 1.1375, 0.4125)","(10.67358675, 5.11708475, 7.597666)",8
F,"(1.5125, 1.2125, 0.4125)","(12.3320325, 5.9250455, 8.50485)",19
F,"(1.15, 0.95, 0.325)","(8.50485, 4.32329875, 4.53592)",11
I,"(1.3, 1.025, 0.35)","(9.62465525, 3.6570855, 5.51397775)",10
F,"(1.6875, 1.4125, 0.4875)","(21.67319275, 10.24834425, 15.6772735)",12
M,"(1.625, 1.2125, 0.4)","(16.20173925, 7.89533575, 8.71747125)",10
M,"(1.7375, 1.325, 0.475)","(21.61649375, 12.360382, 12.8990225)",11
M,"(1.6125, 1.275, 0.475)","(18.27125275, 8.391452, 12.0485375)",12
I,"(1.0125, 0.775, 0.225)","(3.912231, 1.70097, 2.4664065)",8
M,"(1.3125, 1.0375, 0.3625)","(9.99319875, 4.63514325, 8.15048125)",8
I,"(1.0, 0.7625, 0.25)","(4.989512, 1.77184375, 2.45223175)",7
I,"(1.0125, 0.75, 0.2625)","(4.12485225, 1.7293195, 2.28213475)",6
F,"(1.475, 1.0375, 0.375)","(10.33339275, 6.633783, 6.6621325)",11
M,"(1.65, 1.275, 0.4125)","(21.78659075, 10.04989775, 11.12717875)",14
M,"(1.7, 1.2875, 0.425)","(23.85610425, 8.674947, 11.1980525)",11
I,"(1.3, 1.0, 0.35)","(7.881161, 4.12485225, 4.7910655)",8
I,"(1.275, 1.0, 0.3125)","(7.41339425, 3.38776525, 4.32329875)",9
I,"(0.7125, 0.525, 0.175)","(1.247378, 0.75126175, 0.9355335)",5
I,"(0.675, 0.4875, 0.175)","(1.2757275, 0.38271825, 0.963883)",8
I,"(1.1, 0.775, 0.2875)","(3.798833, 2.324659, 3.40194)",11
I,"(1.2, 0.95, 0.3125)","(5.96756975, 2.96252275, 4.9611625)",15
M,"(1.7125, 1.375, 0.475)","(25.231055, 11.623295, 13.87708025)",10
F,"(1.2625, 0.975, 0.325)","(8.97261675, 3.9972795, 5.06038575)",9
M,"(1.2875, 0.975, 0.3875)","(10.47514025, 3.8838815, 4.3941725)",7
F,"(1.4875, 1.1625, 0.35)","(14.67086625, 6.917278, 8.6465975)",12
F,"(1.575, 1.1875, 0.3875)","(12.813974, 7.144074, 7.5126175)",10
F,"(1.1875, 0.9, 0.3125)","(4.80524025, 2.2963095, 3.96893)",9
I,"(1.5125, 1.225, 0.4125)","(13.664459, 5.48562825, 9.979024)",10
I,"(1.125, 0.85, 0.3)","(6.8322295, 3.04757125, 3.40194)",6
M,"(1.1125, 0.875, 0.3)","(5.443104, 2.70737725, 3.8271825)",8
M,"(1.5, 1.1625, 0.4125)","(13.1825175, 6.64795775, 8.9300925)",11
F,"(1.3375, 1.0625, 0.3875)","(8.561549, 4.43669675, 7.087375)",16
I,"(1.5625, 1.1625, 0.3875)","(11.453198, 5.23048275, 9.922325)",14
F,"(0.925, 0.7125, 0.2625)","(3.18931875, 1.65844575, 2.36718325)",9
F,"(1.25, 1.0, 0.3625)","(6.633783, 4.15320175, 6.520385)",12
I,"(1.325, 1.05, 0.3)","(7.24329725, 3.9972795, 5.0178615)",7
M,"(1.275, 0.975, 0.3125)","(7.427569, 5.20213325, 4.9611625)",10
I,"(0.9375, 0.6875, 0.2375)","(2.6932025, 1.54504775, 1.871067)",7
M,"(1.5125, 1.175, 0.4125)","(17.08057375, 7.427569, 8.29222875)",11
M,"(1.4, 1.0875, 0.45)","(10.20582, 5.783298, 7.087375)",11
F,"(1.4125, 1.125, 0.3625)","(11.94931425, 4.77689075, 6.3786375)",8
I,"(1.375, 1.1125, 0.275)","(10.716111, 4.025629, 7.37087)",10
I,"(1.075, 0.85, 0.3125)","(3.89805625, 1.7293195, 4.139027)",14
F,"(0.925, 0.6875, 0.2)","(2.6365035, 1.77184375, 1.984465)",8
M,"(0.9, 0.675, 0.225)","(2.3530085, 1.5025235, 2.1262125)",6
M,"(1.25, 0.975, 0.3625)","(7.7394135, 3.742134, 6.23689)",11
M,"(1.1, 0.9375, 0.325)","(6.406987, 2.73572675, 4.3941725)",9
F,"(1.1875, 0.975, 0.3)","(6.05261825, 3.27436725, 4.819415)",10
M,"(1.6125, 1.275, 0.4875)","(16.68368075, 6.27941425, 10.61688775)",10
I,"(1.35, 1.05, 0.35)","(10.19164525, 4.5075705, 5.62737575)",8
M,"(1.1625, 0.9, 0.3125)","(4.7910655, 3.04757125, 4.1106775)",11
F,"(1.75, 1.4375, 0.425)","(14.44407025, 8.901743, 11.90679)",14
I,"(1.025, 0.75, 0.2875)","(2.7499015, 1.45999925, 2.26796)",10
M,"(1.8, 1.45, 0.475)","(28.22192725, 13.551061, 15.03940975)",13
M,"(1.475, 1.1875, 0.4)","(10.81533425, 5.216308, 7.654365)",19
I,"(1.0875, 0.85, 0.2875)","(5.17378375, 2.211261, 3.24601775)",6
F,"(1.3125, 1.0625, 0.35)","(11.92096475, 5.159609, 6.30776375)",10
I,"(1.0125, 0.7625, 0.25)","(2.73572675, 1.7293195, 2.5798045)",7
F,"(1.175, 0.9375, 0.3125)","(7.144074, 3.8838815, 5.10291)",10
I,"(1.0625, 0.7875, 0.2)","(3.7137845, 1.65844575, 2.6932025)",7
F,"(1.4125, 1.1, 0.375)","(12.3320325, 4.2240755, 7.654365)",9
F,"(1.2625, 1.0, 0.4125)","(7.58349125, 4.3941725, 7.087375)",9
F,"(1.5625, 1.225, 0.4375)","(12.71475075, 6.13766675, 10.19164525)",8
F,"(1.125, 0.8125, 0.3375)","(5.11708475, 3.30271675, 3.118445)",9
F,"(1.425, 1.125, 0.45)","(11.38232425, 6.1518415, 7.2291225)",9
